证券代码,证券简称,交易日期,交易所,昨日收盘,今日开盘,成交数量,最高成交,最低成交,最近成交,总笔数,涨跌幅,成交金额
"	399006",创业板指,2017-01-03,深交所,1962.059,1965.041,732799660,1971.914,1959.139,1963.255,586553,0.061,13493639991.28
"	399006",创业板指,2017-01-04,深交所,1963.255,1963.024,996683958,1992.759,1959.575,1991.565,758242,1.442,18604577405.21
"	399006",创业板指,2017-01-05,深交所,1991.565,1990.696,766451070,1993.709,1983.84,1983.971,643402,-0.3813,14714233594.06
"	399006",创业板指,2017-01-06,深交所,1983.971,1980.84,796877211,1982.4,1963.323,1965.03,641821,-0.9547,15261526284.77
"	399006",创业板指,2017-01-09,深交所,1965.03,1962.205,712730047,1968.87,1951.486,1961.619,587915,-0.1736,13731160508.32
"	399006",创业板指,2017-01-10,深交所,1961.619,1960.097,631858200,1967.474,1951.178,1951.677,531294,-0.5068,11965578412.21
"	399006",创业板指,2017-01-11,深交所,1951.677,1947.423,714099417,1959.297,1932.462,1937.547,585905,-0.724,12868287469.6
"	399006",创业板指,2017-01-12,深交所,1937.547,1935.516,674484348,1946.586,1929.048,1930.145,576769,-0.382,12676345722.71
"	399006",创业板指,2017-01-13,深交所,1930.145,1930.11,745872620,1934.478,1899.106,1899.943,650875,-1.5648,14308984456.09
"	399006",创业板指,2017-01-16,深交所,1899.943,1897.447,1183223188,1897.818,1783.74,1830.848,979816,-3.6367,22819526134.74
"	399006",创业板指,2017-01-17,深交所,1830.848,1824.096,1068536985,1875.799,1805.39,1867.868,844092,2.022,20614150528.89
"	399006",创业板指,2017-01-18,深交所,1867.868,1860.244,712045982,1862.826,1845.573,1845.788,623317,-1.1821,13720432933.68
"	399006",创业板指,2017-01-19,深交所,1845.788,1842.661,525977826,1853.111,1833.496,1844.14,458519,-0.0893,9398836541.79
"	399006",创业板指,2017-01-20,深交所,1844.14,1844.367,989389020,1892.358,1842.623,1880.748,823666,1.9851,19102550446.36
"	399006",创业板指,2017-01-23,深交所,1880.748,1879.974,723584616,1897.099,1879.706,1887.325,615877,0.3497,13349919862.37
"	399006",创业板指,2017-01-24,深交所,1887.325,1885.238,757695848,1885.948,1859.712,1861.216,597939,-1.3834,13535552652.79
"	399006",创业板指,2017-01-25,深交所,1861.216,1857.318,567293325,1874.628,1856.217,1870.703,468411,0.5097,10364811851.92
"	399006",创业板指,2017-01-26,深交所,1870.703,1872.142,610414709,1887.666,1872.142,1886.232,499966,0.8301,10965218696.81
"	399006",创业板指,2017-02-03,深交所,1886.232,1886.969,538417469,1888.806,1872.696,1876.761,457898,-0.5021,9513798092.28
"	399006",创业板指,2017-02-06,深交所,1876.761,1877.141,658149308,1903.329,1874.71,1900.447,545124,1.2621,12228849873.13
"	399006",创业板指,2017-02-07,深交所,1900.447,1897.869,632910013,1900.349,1881.731,1889.134,566645,-0.5953,11948659480.03
"	399006",创业板指,2017-02-08,深交所,1889.134,1887.345,738115597,1903.629,1881.135,1903.628,600491,0.7672,13250461607.66
"	399006",创业板指,2017-02-09,深交所,1903.628,1903.674,866823339,1916.405,1901.884,1914.082,670970,0.5492,15683398111.15
"	399006",创业板指,2017-02-10,深交所,1914.082,1913.23,829937347,1915.427,1900.707,1904.685,652897,-0.4909,14306121679.19
"	399006",创业板指,2017-02-13,深交所,1904.685,1902.46,864365324,1919.201,1894.147,1913.681,693999,0.4723,15479389451.97
