证券代码,证券简称,交易日期,交易所,昨日收盘,今日开盘,成交数量,最高成交,最低成交,最近成交,总笔数,涨跌幅,成交金额
"	300188",美亚柏科,2011-03-07,深交所,40,0,0,0,0,0,0,,0
"	300188",N美亚柏,2011-03-16,深交所,40,46.8,9342406,52.35,46.34,50.1,28425,25.25,451006519.7
"	300188",美亚柏科,2011-03-17,深交所,50.1,48.63,4151487,52.35,48,50.01,7268,-0.1796,207343612
"	300188",美亚柏科,2011-03-18,深交所,50.01,50.8,3410169,54.1,49.95,54,6650,7.9784,177349542.81
"	300188",美亚柏科,2011-03-21,深交所,54,54.9,2088310,54.94,52.59,54.28,3945,0.5185,111901072.48
"	300188",美亚柏科,2011-03-22,深交所,54.28,53.77,2015112,55.8,52.6,54.48,3395,0.3685,108807383.14
"	300188",美亚柏科,2011-03-23,深交所,54.48,53.94,1054429,54.87,53.2,54,1799,-0.8811,56810688.96
"	300188",美亚柏科,2011-03-24,深交所,54,53.95,1284655,57.95,53.5,56.68,2770,4.963,71645532.75
"	300188",美亚柏科,2011-03-25,深交所,56.68,56.1,756799,57.45,55.55,55.7,1654,-1.729,42735845.08
"	300188",美亚柏科,2011-03-28,深交所,55.7,55.05,1171098,56.27,51.34,51.34,2442,-7.8276,62260482.97
"	300188",美亚柏科,2011-03-29,深交所,51.34,50.77,864437,50.88,49.21,50,1602,-2.6101,43096618.98
"	300188",美亚柏科,2011-03-30,深交所,50,49.94,448765,50.49,47.55,48.07,995,-3.86,22030629.56
"	300188",美亚柏科,2011-03-31,深交所,48.07,48.07,311794,49.5,48.07,48.92,762,1.7683,15227682.09
"	300188",美亚柏科,2011-04-01,深交所,48.92,48.73,395897,49.2,47,49.1,711,0.3679,19171099.72
"	300188",美亚柏科,2011-04-06,深交所,49.1,48.88,885371,48.97,46.58,47,1400,-4.277,41799883.06
"	300188",美亚柏科,2011-04-07,深交所,47,46.99,448817,49,46.6,48.05,924,2.234,21546201.81
"	300188",美亚柏科,2011-04-08,深交所,48.05,47.8,285620,48.71,47.8,48,592,-0.1041,13744175.14
"	300188",美亚柏科,2011-04-11,深交所,48,47.7,549145,48,46.22,46.38,1068,-3.375,25763082.82
"	300188",美亚柏科,2011-04-12,深交所,46.38,46.38,212325,47.35,46.38,47.19,539,1.7464,9954044.69
"	300188",美亚柏科,2011-04-13,深交所,47.19,47.05,521832,49.88,46.8,49,1219,3.8356,25408222.4
"	300188",美亚柏科,2011-04-14,深交所,49,48.88,272016,49.36,47.98,49.2,641,0.4082,13235386.38
"	300188",美亚柏科,2011-04-15,深交所,49.2,48.76,275867,49.38,48.1,49.28,531,0.1626,13480371.54
"	300188",美亚柏科,2011-04-18,深交所,49.28,48.57,257214,49.74,48.02,48.65,486,-1.2784,12539079
"	300188",美亚柏科,2011-04-19,深交所,48.65,48.11,311887,48.11,46.6,47.45,611,-2.4666,14744433.99
