证券代码,证券简称,交易日期,交易所,昨日收盘,今日开盘,成交数量,最高成交,最低成交,最近成交,总笔数,涨跌幅,成交金额
"	300188",美亚柏科,2012-01-04,深交所,35.45,36.18,287403,36.8,34.9,35.26,502,-0.536,10375774.8
"	300188",美亚柏科,2012-01-05,深交所,35.26,34.68,281131,34.9,33,33.1,508,-6.1259,9523134.88
"	300188",美亚柏科,2012-01-06,深交所,33.1,33.12,327246,33.69,32.6,33.45,498,1.0574,10836229.71
"	300188",美亚柏科,2012-01-09,深交所,33.45,33.71,455762,35.79,32.71,35.78,587,6.9656,15766360.13
"	300188",美亚柏科,2012-01-10,深交所,35.78,35.67,349200,36.8,35.67,36.66,521,2.4595,12699335.46
"	300188",美亚柏科,2012-01-11,深交所,36.66,36.05,249337,37.43,36.05,36.66,444,0,9157267.95
"	300188",美亚柏科,2012-01-12,深交所,36.66,36.69,218297,36.96,35.72,36.14,402,-1.4184,7898598.34
"	300188",美亚柏科,2012-01-13,深交所,36.14,35.61,323328,36,33.6,34,490,-5.9214,11110300.54
"	300188",美亚柏科,2012-01-16,深交所,34,33.56,316266,33.56,31.62,32,510,-5.8824,10201697.63
"	300188",美亚柏科,2012-01-17,深交所,32,31.28,259973,33.7,31.28,33.51,432,4.7188,8526229.67
"	300188",美亚柏科,2012-01-18,深交所,33.51,33.21,290042,33.99,31.26,31.3,420,-6.595,9453950.43
"	300188",美亚柏科,2012-01-19,深交所,31.3,30.99,463623,31.76,29.58,30.09,697,-3.8658,14117579.97
"	300188",美亚柏科,2012-01-20,深交所,30.09,30.25,388484,31.96,29.68,30.97,644,2.9246,11883470.66
"	300188",美亚柏科,2012-01-30,深交所,30.97,31,454518,32.97,30.99,32.1,693,3.6487,14605594.36
"	300188",美亚柏科,2012-01-31,深交所,32.1,32,151919,32.74,31.52,32.45,353,1.0903,4913886.14
"	300188",美亚柏科,2012-02-01,深交所,32.45,32.29,231918,33.25,31.82,32.06,456,-1.2018,7537414
"	300188",美亚柏科,2012-02-02,深交所,32.06,32.12,200949,33.5,31.81,33.15,436,3.3999,6531791.2
"	300188",美亚柏科,2012-02-03,深交所,33.15,33.15,482349,34.16,32.82,34,627,2.5641,16179146.38
"	300188",美亚柏科,2012-02-06,深交所,34,33.98,247258,34.25,33.7,34.15,451,0.4412,8405329.74
"	300188",美亚柏科,2012-02-07,深交所,34.15,34.1,237608,34.15,33.34,33.83,333,-0.937,8010728.51
"	300188",美亚柏科,2012-02-08,深交所,33.83,33.83,244591,34.6,33.61,34.59,408,2.2465,8361857.25
"	300188",美亚柏科,2012-02-09,深交所,34.59,34.5,265701,35.47,34.23,34.76,525,0.4915,9297367.54
"	300188",美亚柏科,2012-02-10,深交所,34.76,34.52,161184,35.1,34.52,34.85,303,0.2589,5610157.45
"	300188",美亚柏科,2012-02-13,深交所,34.85,34.1,454147,36.46,33.96,35.83,645,2.8121,16037555.05
"	300188",美亚柏科,2012-02-14,深交所,35.83,35.74,225743,36.28,35.41,35.64,428,-0.5303,8072679.39
"	300188",美亚柏科,2012-02-15,深交所,35.64,35.1,249044,36.46,35.1,36.42,429,2.1886,8983188.5
"	300188",美亚柏科,2012-02-16,深交所,36.42,36.51,251762,36.7,35.61,35.91,452,-1.4003,9054563.97
"	300188",美亚柏科,2012-02-17,深交所,35.91,36.26,172202,36.26,35.15,35.79,353,-0.3342,6127902.52
"	300188",美亚柏科,2012-02-20,深交所,35.79,36.15,390458,37.3,35.7,35.79,725,0,14259664
"	300188",美亚柏科,2012-02-21,深交所,35.79,35.56,373029,37.11,35.55,37,684,3.3808,13616041.58
"	300188",美亚柏科,2012-02-22,深交所,37,37.3,536335,38.38,36.7,38.01,837,2.7297,20242490.63
"	300188",美亚柏科,2012-02-23,深交所,38.01,37.94,450657,38.53,37.6,37.75,773,-0.684,17125328.73
"	300188",美亚柏科,2012-02-24,深交所,37.75,37.6,587198,38.65,37.4,38.58,785,2.1987,22276034.66
"	300188",美亚柏科,2012-02-27,深交所,38.58,38.26,629569,38.7,37.71,38.2,902,-0.985,24092423.15
"	300188",美亚柏科,2012-02-28,深交所,38.2,38,582506,38.19,37.1,37.45,854,-1.9634,21823116.58
"	300188",美亚柏科,2012-02-29,深交所,37.45,37.32,629704,37.69,36.7,36.87,1000,-1.5487,23423610.06
"	300188",美亚柏科,2012-03-01,深交所,36.87,36.87,532520,37.38,36.37,37.38,866,1.3832,19617263.17
"	300188",美亚柏科,2012-03-02,深交所,37.38,37.4,466256,38.04,37.04,37.98,756,1.6051,17530796.57
"	300188",美亚柏科,2012-03-05,深交所,37.98,38.2,505271,38.29,37.37,37.52,762,-1.2112,19087318.33
"	300188",美亚柏科,2012-03-06,深交所,37.52,37.35,442235,37.36,36.6,36.9,722,-1.6525,16340530.1
"	300188",美亚柏科,2012-03-07,深交所,36.9,36.9,568147,38.27,36.6,37.86,893,2.6016,21323802
"	300188",美亚柏科,2012-03-08,深交所,37.86,38,451646,38.2,37.21,37.91,803,0.1321,17005042.13
"	300188",美亚柏科,2012-03-09,深交所,37.91,37.95,710681,39.74,37.9,39.31,1144,3.693,27695548.96
"	300188",美亚柏科,2012-03-12,深交所,39.31,39.11,422927,39.67,39.1,39.63,662,0.814,16627325.56
"	300188",美亚柏科,2012-03-13,深交所,39.63,39.63,416132,39.85,38.88,39.5,692,-0.328,16319613.07
"	300188",美亚柏科,2012-03-14,深交所,39.5,39.55,742307,40.55,37,37.63,1310,-4.7342,29065751.42
"	300188",美亚柏科,2012-03-15,深交所,37.63,37.9,985165,41.39,37.51,41.18,1487,9.434,38803020.11
"	300188",美亚柏科,2012-03-16,深交所,41.18,40.88,485247,41.39,39.9,41.12,924,-0.1457,19708897.47
"	300188",美亚柏科,2012-03-19,深交所,41.12,41.22,489745,42.92,40.94,41.23,1003,0.2675,20459227.21
"	300188",美亚柏科,2012-03-20,深交所,41.23,41.23,482025,41.35,39.98,40.01,749,-2.959,19508057.23
"	300188",美亚柏科,2012-03-21,深交所,40.01,39.99,653772,40.38,38,38.8,1110,-3.0242,25484577.15
"	300188",美亚柏科,2012-03-22,深交所,38.8,38.55,251710,39.5,38.5,39.09,485,0.7474,9843866.51
"	300188",美亚柏科,2012-03-23,深交所,39.09,39,300041,39.06,37.95,38.2,592,-2.2768,11489192.75
"	300188",美亚柏科,2012-03-26,深交所,38.2,38.48,342805,39.52,38.15,39.1,619,2.356,13392305.8
"	300188",美亚柏科,2012-03-27,深交所,39.1,39.49,407880,39.58,38.75,39.18,706,0.2046,15948687.92
"	300188",美亚柏科,2012-03-28,深交所,39.18,39.3,646218,39.3,35.55,36.4,934,-7.0955,23849463.38
"	300188",美亚柏科,2012-03-29,深交所,36.4,35.9,430181,36.92,35.7,36.3,730,-0.2747,15597680.31
"	300188",美亚柏科,2012-03-30,深交所,36.3,0,0,0,0,0,0,,0
"	300188",美亚柏科,2012-04-05,深交所,36.3,36.99,464050,37.17,35.5,36.59,878,0.7989,16861956.57
"	300188",美亚柏科,2012-04-06,深交所,36.59,36.7,716852,37.24,36.06,37.24,869,1.7764,26336602.79
"	300188",美亚柏科,2012-04-09,深交所,37.24,37.24,258000,37.29,36.2,36.2,419,-2.7927,9514222.5
"	300188",美亚柏科,2012-04-10,深交所,36.2,35.95,291381,36.15,34.7,35.85,624,-0.9669,10331172.19
"	300188",美亚柏科,2012-04-11,深交所,35.85,35.75,437663,35.8,34.7,35.46,563,-1.0879,15470240.02
"	300188",美亚柏科,2012-04-12,深交所,35.46,35.63,307291,36.91,35.48,36.85,570,3.9199,11127467.08
"	300188",美亚柏科,2012-04-13,深交所,36.85,36.99,217330,37.04,36.44,36.87,381,0.0543,7996008.48
"	300188",美亚柏科,2012-04-16,深交所,36.87,37.51,732164,39.25,36.9,38.51,1061,4.4481,28219256.25
"	300188",美亚柏科,2012-04-17,深交所,38.51,38.35,500430,38.86,37.8,37.83,526,-1.7658,19178296.84
"	300188",美亚柏科,2012-04-18,深交所,37.83,38.06,551614,39.1,37.83,39.07,615,3.2778,21295210.03
"	300188",美亚柏科,2012-04-19,深交所,39.07,39.07,280242,39.24,38.6,38.93,362,-0.3583,10944204.56
"	300188",美亚柏科,2012-04-20,深交所,38.93,38.65,221926,39.39,38.63,39.25,413,0.822,8671399.83
"	300188",美亚柏科,2012-04-23,深交所,39.25,39,673723,39.38,37.8,38.2,843,-2.6752,26099981.04
"	300188",美亚柏科,2012-04-24,深交所,38.2,38.2,314745,38.89,37.63,38.69,448,1.2827,12029905.43
"	300188",美亚柏科,2012-04-25,深交所,38.69,38.69,409274,40.6,38.51,40.5,663,4.6782,16369285.79
"	300188",美亚柏科,2012-04-26,深交所,40.5,40.4,321060,41.48,39.54,39.54,491,-2.3704,12978443.45
"	300188",美亚柏科,2012-04-27,深交所,39.54,39.56,360309,41.9,39.21,40.99,499,3.6672,14656284.38
"	300188",美亚柏科,2012-05-02,深交所,40.99,41.44,388949,42.69,40.64,41.85,523,2.0981,16210132
"	300188",美亚柏科,2012-05-03,深交所,41.85,41.85,186961,41.99,40.61,40.61,368,-2.963,7783691.19
"	300188",美亚柏科,2012-05-04,深交所,40.61,41.27,512658,42.65,40.68,41.55,584,2.3147,21323500.62
"	300188",美亚柏科,2012-05-07,深交所,41.55,41.33,462519,42.95,41.1,42.25,607,1.6847,19610202.89
"	300188",美亚柏科,2012-05-08,深交所,42.25,42.3,219295,42.61,41.8,42.26,356,0.0237,9250362.92
"	300188",美亚柏科,2012-05-09,深交所,42.26,41.85,310965,42.38,40.62,40.92,486,-3.1708,12837570.1
"	300188",美亚柏科,2012-05-10,深交所,40.92,40.92,155736,41.38,40.7,40.99,258,0.1711,6391027.36
"	300188",美亚柏科,2012-05-11,深交所,40.99,41.07,208956,41.88,40.9,40.94,250,-0.122,8640497.77
"	300188",美亚柏科,2012-05-14,深交所,40.94,41,116936,41.27,40.67,40.68,214,-0.6351,4784350.35
"	300188",美亚柏科,2012-05-15,深交所,40.68,40.43,191763,40.5,39.3,39.9,286,-1.9174,7622783.3
"	300188",美亚柏科,2012-05-16,深交所,39.9,39.88,138987,39.93,39,39.33,267,-1.4286,5498247.93
"	300188",美亚柏科,2012-05-17,深交所,39.33,39.52,246074,40.59,39.3,40.4,357,2.7206,9834422.29
"	300188",美亚柏科,2012-05-18,深交所,40.4,40.28,163952,40.79,39.82,40.52,287,0.297,6598676.25
"	300188",美亚柏科,2012-05-21,深交所,40.52,40.58,465069,42.88,40.58,42.62,730,5.1826,19659418.21
"	300188",美亚柏科,2012-05-22,深交所,42.62,42.71,747757,44.65,42.71,44.44,920,4.2703,32853083.28
"	300188",美亚柏科,2012-05-23,深交所,44.44,44.01,720690,45.85,44.01,45.18,838,1.6652,32485367.63
"	300188",美亚柏科,2012-05-24,深交所,45.18,45,688502,46.85,44.38,45.18,761,0,31278146.35
"	300188",美亚柏科,2012-05-25,深交所,45.18,45.2,303813,45.68,44.4,44.85,365,-0.7304,13633887.61
"	300188",美亚柏科,2012-05-28,深交所,44.85,44.51,219010,45,43.73,44.9,346,0.1115,9728706.5
"	300188",美亚柏科,2012-05-29,深交所,44.9,44.68,257539,45.45,44.25,44.5,389,-0.8909,11521241.86
"	300188",美亚柏科,2012-05-30,深交所,44.5,44.31,323992,45.58,44.11,44.96,449,1.0337,14545930.39
"	300188",美亚柏科,2012-05-31,深交所,44.96,44.27,416941,44.5,43.57,43.6,619,-3.0249,18300156.9
"	300188",美亚柏科,2012-06-01,深交所,43.6,43.6,263069,44.14,43.25,43.76,459,0.367,11494600.86
